humanSusceptibleNumber,humanExposureNumber,humanAsymptomaticNumber,humanInfectNumber,humanRecoverNumber
1000,0,0,0,0
999.8628682,0.137112953,0.001305838,0.002611675,4.35279E-05
999.8628682,0.137112953,0.001305838,0.002611675,4.35279E-05
999.8628682,0.137112953,0.001305838,0.002611675,4.35279E-05
999.8628682,0.137112953,0.001305838,0.002611675,4.35279E-05
999.8628682,0.137112953,0.001305838,0.002611675,4.35279E-05
999.3792871,0.616542201,0.0071501,0.014300201,0.000281429
999.3792871,0.616542201,0.0071501,0.014300201,0.000281429
999.3792871,0.616542201,0.0071501,0.014300201,0.000281429
999.3792871,0.616542201,0.0071501,0.014300201,0.000281429
999.3792871,0.616542201,0.0071501,0.014300201,0.000281429
998.4886042,1.488851972,0.021178696,0.042357393,0.000984572
998.4886042,1.488851972,0.021178696,0.042357393,0.000984572
998.4886042,1.488851972,0.021178696,0.042357393,0.000984572
998.4886042,1.488851972,0.021178696,0.042357393,0.000984572
998.4886042,1.488851972,0.021178696,0.042357393,0.000984572
997.4438253,2.490208695,0.044447864,0.088895728,0.002456321
997.4438253,2.490208695,0.044447864,0.088895728,0.002456321
997.4438253,2.490208695,0.044447864,0.088895728,0.002456321
997.4438253,2.490208695,0.044447864,0.088895728,0.002456321
997.4438253,2.490208695,0.044447864,0.088895728,0.002456321
996.2035625,3.658408358,0.078351505,0.156703009,0.005043475
996.2035625,3.658408358,0.078351505,0.156703009,0.005043475
996.2035625,3.658408358,0.078351505,0.156703009,0.005043475
996.2035625,3.658408358,0.078351505,0.156703009,0.005043475
994.8376415,4.919258758,0.123547501,0.247095001,0.00911129
994.8376415,4.919258758,0.123547501,0.247095001,0.00911129
994.8376415,4.919258758,0.123547501,0.247095001,0.00911129
994.8376415,4.919258758,0.123547501,0.247095001,0.00911129
994.8376415,4.919258758,0.123547501,0.247095001,0.00911129
993.4150002,6.201672591,0.180002824,0.360005648,0.015020271
993.4150002,6.201672591,0.180002824,0.360005648,0.015020271
993.4150002,6.201672591,0.180002824,0.360005648,0.015020271
993.4150002,6.201672591,0.180002824,0.360005648,0.015020271
993.4150002,6.201672591,0.180002824,0.360005648,0.015020271
991.8056459,7.634955692,0.248916628,0.497833256,0.02316729
991.8056459,7.634955692,0.248916628,0.497833256,0.02316729
991.8056459,7.634955692,0.248916628,0.497833256,0.02316729
991.8056459,7.634955692,0.248916628,0.497833256,0.02316729
991.8056459,7.634955692,0.248916628,0.497833256,0.02316729
990.039323,9.185439327,0.331142096,0.662284192,0.033973687
990.039323,9.185439327,0.331142096,0.662284192,0.033973687
990.039323,9.185439327,0.331142096,0.662284192,0.033973687
990.039323,9.185439327,0.331142096,0.662284192,0.033973687
990.039323,9.185439327,0.331142096,0.662284192,0.033973687
988.0007049,10.96496585,0.428579565,0.857159129,0.047919935
988.0007049,10.96496585,0.428579565,0.857159129,0.047919935
988.0007049,10.96496585,0.428579565,0.857159129,0.047919935
988.0007049,10.96496585,0.428579565,0.857159129,0.047919935
985.309872,13.34520196,0.546628935,1.093257871,0.0656617
985.309872,13.34520196,0.546628935,1.093257871,0.0656617
985.309872,13.34520196,0.546628935,1.093257871,0.0656617
985.309872,13.34520196,0.546628935,1.093257871,0.0656617
985.309872,13.34520196,0.546628935,1.093257871,0.0656617
981.5821669,16.69040605,0.694045239,1.388090479,0.088139925
981.5821669,16.69040605,0.694045239,1.388090479,0.088139925
981.5821669,16.69040605,0.694045239,1.388090479,0.088139925
981.5821669,16.69040605,0.694045239,1.388090479,0.088139925
981.5821669,16.69040605,0.694045239,1.388090479,0.088139925
976.6312637,21.15581447,0.880877121,1.761754241,0.116621096
976.6312637,21.15581447,0.880877121,1.761754241,0.116621096
976.6312637,21.15581447,0.880877121,1.761754241,0.116621096
976.6312637,21.15581447,0.880877121,1.761754241,0.116621096
976.6312637,21.15581447,0.880877121,1.761754241,0.116621096
970.6866074,26.48054117,1.114476456,2.228952912,0.1526041
970.6866074,26.48054117,1.114476456,2.228952912,0.1526041
970.6866074,26.48054117,1.114476456,2.228952912,0.1526041
970.6866074,26.48054117,1.114476456,2.228952912,0.1526041
970.6866074,26.48054117,1.114476456,2.228952912,0.1526041
963.3202733,33.06049084,1.405810437,2.811620874,0.197938407
963.3202733,33.06049084,1.405810437,2.811620874,0.197938407
963.3202733,33.06049084,1.405810437,2.811620874,0.197938407
963.3202733,33.06049084,1.405810437,2.811620874,0.197938407
954.2186469,41.1642648,1.768172834,3.536345668,0.254898118
954.2186469,41.1642648,1.768172834,3.536345668,0.254898118
954.2186469,41.1642648,1.768172834,3.536345668,0.254898118
954.2186469,41.1642648,1.768172834,3.536345668,0.254898118
954.2186469,41.1642648,1.768172834,3.536345668,0.254898118
942.4762778,51.62655056,2.222526175,4.445052349,0.326433342
942.4762778,51.62655056,2.222526175,4.445052349,0.326433342
942.4762778,51.62655056,2.222526175,4.445052349,0.326433342
942.4762778,51.62655056,2.222526175,4.445052349,0.326433342
942.4762778,51.62655056,2.222526175,4.445052349,0.326433342
928.5554065,63.91723417,2.784341741,5.568683482,0.4159804
928.5554065,63.91723417,2.784341741,5.568683482,0.4159804
928.5554065,63.91723417,2.784341741,5.568683482,0.4159804
928.5554065,63.91723417,2.784341741,5.568683482,0.4159804
928.5554065,63.91723417,2.784341741,5.568683482,0.4159804
912.755257,77.68544082,3.465422534,6.930845069,0.527334681
912.755257,77.68544082,3.465422534,6.930845069,0.527334681
912.755257,77.68544082,3.465422534,6.930845069,0.527334681
912.755257,77.68544082,3.465422534,6.930845069,0.527334681
912.755257,77.68544082,3.465422534,6.930845069,0.527334681
896.0709066,91.92487767,4.26773864,8.535477279,0.664319289
896.0709066,91.92487767,4.26773864,8.535477279,0.664319289
896.0709066,91.92487767,4.26773864,8.535477279,0.664319289
896.0709066,91.92487767,4.26773864,8.535477279,0.664319289
877.7960589,107.2994418,5.19954138,10.39908276,0.830994142
877.7960589,107.2994418,5.19954138,10.39908276,0.830994142
877.7960589,107.2994418,5.19954138,10.39908276,0.830994142
877.7960589,107.2994418,5.19954138,10.39908276,0.830994142
877.7960589,107.2994418,5.19954138,10.39908276,0.830994142
858.3868344,123.3358286,6.264400224,12.52880045,1.031497541
858.3868344,123.3358286,6.264400224,12.52880045,1.031497541
858.3868344,123.3358286,6.264400224,12.52880045,1.031497541
858.3868344,123.3358286,6.264400224,12.52880045,1.031497541
858.3868344,123.3358286,6.264400224,12.52880045,1.031497541
837.9502959,139.9109896,7.46463739,14.92927478,1.270003812
837.9502959,139.9109896,7.46463739,14.92927478,1.270003812
837.9502959,139.9109896,7.46463739,14.92927478,1.270003812
837.9502959,139.9109896,7.46463739,14.92927478,1.270003812
837.9502959,139.9109896,7.46463739,14.92927478,1.270003812
817.0870005,156.4384136,8.796940254,17.59388051,1.550535116
817.0870005,156.4384136,8.796940254,17.59388051,1.550535116
817.0870005,156.4384136,8.796940254,17.59388051,1.550535116
817.0870005,156.4384136,8.796940254,17.59388051,1.550535116
817.0870005,156.4384136,8.796940254,17.59388051,1.550535116
795.7479831,172.9674493,10.25853611,20.51707222,1.876980968
795.7479831,172.9674493,10.25853611,20.51707222,1.876980968
795.7479831,172.9674493,10.25853611,20.51707222,1.876980968
795.7479831,172.9674493,10.25853611,20.51707222,1.876980968
773.9383651,189.4942537,11.84667419,23.69334839,2.253100298
773.9383651,189.4942537,11.84667419,23.69334839,2.253100298
773.9383651,189.4942537,11.84667419,23.69334839,2.253100298
773.9383651,189.4942537,11.84667419,23.69334839,2.253100298
773.9383651,189.4942537,11.84667419,23.69334839,2.253100298
751.8405893,205.848092,13.55703576,27.11407152,2.682470487
751.8405893,205.848092,13.55703576,27.11407152,2.682470487
751.8405893,205.848092,13.55703576,27.11407152,2.682470487
751.8405893,205.848092,13.55703576,27.11407152,2.682470487
751.8405893,205.848092,13.55703576,27.11407152,2.682470487
729.5074953,221.9858157,15.3849823,30.76996459,3.168478526
729.5074953,221.9858157,15.3849823,30.76996459,3.168478526
729.5074953,221.9858157,15.3849823,30.76996459,3.168478526
729.5074953,221.9858157,15.3849823,30.76996459,3.168478526
729.5074953,221.9858157,15.3849823,30.76996459,3.168478526
707.3865813,237.4965488,17.32206012,34.64412024,3.714195744
707.3865813,237.4965488,17.32206012,34.64412024,3.714195744
707.3865813,237.4965488,17.32206012,34.64412024,3.714195744
707.3865813,237.4965488,17.32206012,34.64412024,3.714195744
707.3865813,237.4965488,17.32206012,34.64412024,3.714195744
685.7560297,252.1417562,19.35772224,38.71544448,4.322311195
685.7560297,252.1417562,19.35772224,38.71544448,4.322311195
685.7560297,252.1417562,19.35772224,38.71544448,4.322311195
685.7560297,252.1417562,19.35772224,38.71544448,4.322311195
664.7717072,265.8047651,21.48053317,42.96106634,4.995105855
664.7717072,265.8047651,21.48053317,42.96106634,4.995105855
664.7717072,265.8047651,21.48053317,42.96106634,4.995105855
664.7717072,265.8047651,21.48053317,42.96106634,4.995105855
664.7717072,265.8047651,21.48053317,42.96106634,4.995105855
643.7179533,279.1853773,23.6859636,47.3719272,5.734686917
643.7179533,279.1853773,23.6859636,47.3719272,5.734686917
643.7179533,279.1853773,23.6859636,47.3719272,5.734686917
643.7179533,279.1853773,23.6859636,47.3719272,5.734686917
643.7179533,279.1853773,23.6859636,47.3719272,5.734686917
623.0226718,291.8950118,25.96587909,51.93175817,6.54286935
623.0226718,291.8950118,25.96587909,51.93175817,6.54286935
623.0226718,291.8950118,25.96587909,51.93175817,6.54286935
623.0226718,291.8950118,25.96587909,51.93175817,6.54286935
623.0226718,291.8950118,25.96587909,51.93175817,6.54286935
603.0229987,303.6426268,28.30954507,56.61909014,7.421092159
603.0229987,303.6426268,28.30954507,56.61909014,7.421092159
603.0229987,303.6426268,28.30954507,56.61909014,7.421092159
603.0229987,303.6426268,28.30954507,56.61909014,7.421092159
603.0229987,303.6426268,28.30954507,56.61909014,7.421092159
583.6928127,314.4837618,30.70698256,61.41396513,8.370447323
583.6928127,314.4837618,30.70698256,61.41396513,8.370447323
583.6928127,314.4837618,30.70698256,61.41396513,8.370447323
583.6928127,314.4837618,30.70698256,61.41396513,8.370447323
564.7903399,324.6722574,33.15084078,66.30168156,9.391770876
564.7903399,324.6722574,33.15084078,66.30168156,9.391770876
564.7903399,324.6722574,33.15084078,66.30168156,9.391770876
564.7903399,324.6722574,33.15084078,66.30168156,9.391770876
564.7903399,324.6722574,33.15084078,66.30168156,9.391770876
546.5769284,333.9869982,35.63181825,71.2636365,10.48558044
546.5769284,333.9869982,35.63181825,71.2636365,10.48558044
546.5769284,333.9869982,35.63181825,71.2636365,10.48558044
546.5769284,333.9869982,35.63181825,71.2636365,10.48558044
546.5769284,333.9869982,35.63181825,71.2636365,10.48558044
529.193743,342.3250031,38.1398291,76.2796582,11.65205227
529.193743,342.3250031,38.1398291,76.2796582,11.65205227
529.193743,342.3250031,38.1398291,76.2796582,11.65205227
529.193743,342.3250031,38.1398291,76.2796582,11.65205227
529.193743,342.3250031,38.1398291,76.2796582,11.65205227
512.424865,349.9174266,40.66720185,81.3344037,12.89110515
512.424865,349.9174266,40.66720185,81.3344037,12.89110515
512.424865,349.9174266,40.66720185,81.3344037,12.89110515
512.424865,349.9174266,40.66720185,81.3344037,12.89110515
512.424865,349.9174266,40.66720185,81.3344037,12.89110515
496.2731606,356.7852789,43.20662707,86.41325414,14.202415
496.2731606,356.7852789,43.20662707,86.41325414,14.202415
496.2731606,356.7852789,43.20662707,86.41325414,14.202415
496.2731606,356.7852789,43.20662707,86.41325414,14.202415
480.8114046,362.8839232,45.75052453,91.50104906,15.58540833
480.8114046,362.8839232,45.75052453,91.50104906,15.58540833
480.8114046,362.8839232,45.75052453,91.50104906,15.58540833
480.8114046,362.8839232,45.75052453,91.50104906,15.58540833
480.8114046,362.8839232,45.75052453,91.50104906,15.58540833
466.0184999,368.2568996,48.29188869,96.58377738,17.03928387
466.0184999,368.2568996,48.29188869,96.58377738,17.03928387
466.0184999,368.2568996,48.29188869,96.58377738,17.03928387
466.0184999,368.2568996,48.29188869,96.58377738,17.03928387
466.0184999,368.2568996,48.29188869,96.58377738,17.03928387
451.7156465,373.0925084,50.82565525,101.6513105,18.56307954
451.7156465,373.0925084,50.82565525,101.6513105,18.56307954
451.7156465,373.0925084,50.82565525,101.6513105,18.56307954
451.7156465,373.0925084,50.82565525,101.6513105,18.56307954
451.7156465,373.0925084,50.82565525,101.6513105,18.56307954
437.9486826,377.3649273,53.34662088,106.6932418,20.15566944
437.9486826,377.3649273,53.34662088,106.6932418,20.15566944
437.9486826,377.3649273,53.34662088,106.6932418,20.15566944
437.9486826,377.3649273,53.34662088,106.6932418,20.15566944
437.9486826,377.3649273,53.34662088,106.6932418,20.15566944
424.778393,381.035136,55.8493205,111.698641,21.81575676
424.778393,381.035136,55.8493205,111.698641,21.81575676
424.778393,381.035136,55.8493205,111.698641,21.81575676
424.778393,381.035136,55.8493205,111.698641,21.81575676
412.2042479,384.121937,58.32858345,116.6571669,23.54188531
412.2042479,384.121937,58.32858345,116.6571669,23.54188531
412.2042479,384.121937,58.32858345,116.6571669,23.54188531
412.2042479,384.121937,58.32858345,116.6571669,23.54188531
412.2042479,384.121937,58.32858345,116.6571669,23.54188531
400.2326475,386.6369603,60.77945901,121.558918,25.33244843
400.2326475,386.6369603,60.77945901,121.558918,25.33244843
400.2326475,386.6369603,60.77945901,121.558918,25.33244843
400.2326475,386.6369603,60.77945901,121.558918,25.33244843
400.2326475,386.6369603,60.77945901,121.558918,25.33244843
388.8122558,388.6448719,63.19771683,126.3954337,27.1857145
388.8122558,388.6448719,63.19771683,126.3954337,27.1857145
388.8122558,388.6448719,63.19771683,126.3954337,27.1857145
388.8122558,388.6448719,63.19771683,126.3954337,27.1857145
388.8122558,388.6448719,63.19771683,126.3954337,27.1857145
377.9668789,390.1385393,65.57914794,131.1582959,29.09982895
377.9668789,390.1385393,65.57914794,131.1582959,29.09982895
377.9668789,390.1385393,65.57914794,131.1582959,29.09982895
377.9668789,390.1385393,65.57914794,131.1582959,29.09982895
377.9668789,390.1385393,65.57914794,131.1582959,29.09982895
367.5992768,391.2232662,67.92063513,135.8412703,31.07285184
367.5992768,391.2232662,67.92063513,135.8412703,31.07285184
367.5992768,391.2232662,67.92063513,135.8412703,31.07285184
367.5992768,391.2232662,67.92063513,135.8412703,31.07285184
357.7890946,391.8368395,70.21853448,140.437069,33.10274113
357.7890946,391.8368395,70.21853448,140.437069,33.10274113
357.7890946,391.8368395,70.21853448,140.437069,33.10274113
357.7890946,391.8368395,70.21853448,140.437069,33.10274113
357.7890946,391.8368395,70.21853448,140.437069,33.10274113
348.4610761,392.0626344,72.47007305,144.9401461,35.18738282
348.4610761,392.0626344,72.47007305,144.9401461,35.18738282
348.4610761,392.0626344,72.47007305,144.9401461,35.18738282
348.4610761,392.0626344,72.47007305,144.9401461,35.18738282
348.4610761,392.0626344,72.47007305,144.9401461,35.18738282
339.5871079,391.937668,74.67288898,149.345778,37.3246053
339.5871079,391.937668,74.67288898,149.345778,37.3246053
339.5871079,391.937668,74.67288898,149.345778,37.3246053
339.5871079,391.937668,74.67288898,149.345778,37.3246053
339.5871079,391.937668,74.67288898,149.345778,37.3246053
331.1349827,391.501585,76.82504785,153.6500957,39.51219417
331.1349827,391.501585,76.82504785,153.6500957,39.51219417
331.1349827,391.501585,76.82504785,153.6500957,39.51219417
331.1349827,391.501585,76.82504785,153.6500957,39.51219417
331.1349827,391.501585,76.82504785,153.6500957,39.51219417
323.1348972,390.7346714,78.92446831,157.8489366,41.74788784
323.1348972,390.7346714,78.92446831,157.8489366,41.74788784
323.1348972,390.7346714,78.92446831,157.8489366,41.74788784
323.1348972,390.7346714,78.92446831,157.8489366,41.74788784
315.5036711,389.7232833,80.96993541,161.9398708,44.02940681
315.5036711,389.7232833,80.96993541,161.9398708,44.02940681
315.5036711,389.7232833,80.96993541,161.9398708,44.02940681
315.5036711,389.7232833,80.96993541,161.9398708,44.02940681
315.5036711,389.7232833,80.96993541,161.9398708,44.02940681
308.2370569,388.4776622,82.96035736,165.9207147,46.35445799
308.2370569,388.4776622,82.96035736,165.9207147,46.35445799
308.2370569,388.4776622,82.96035736,165.9207147,46.35445799
308.2370569,388.4776622,82.96035736,165.9207147,46.35445799
308.2370569,388.4776622,82.96035736,165.9207147,46.35445799
301.1136662,387.2100545,84.89668685,169.7933737,48.72080297
301.1136662,387.2100545,84.89668685,169.7933737,48.72080297
301.1136662,387.2100545,84.89668685,169.7933737,48.72080297
