mosquitoDensity,mosquitoInfectNumber
6120.0,15.299999999999718
6140.842586141512,17.471320446124352
6246.134625617346,28.361893676141843
6353.247109698013,36.91681505826275
6462.210271968542,47.90805064302638
6573.054758192033,57.834079566366114
6685.811627104761,65.39309580771045
6800.512350928647,76.77608489789246
6917.188815584784,82.29873262646757
7035.873320590487,92.46348467272813
7156.59857862261,102.56564176400127
7279.397714728226,109.50946155509675
7404.304265164099,121.19790577275683
7531.352175845026,124.50647241954177
7660.575800380815,128.2673514408548
7792.009897680876,134.52208422823185
7925.689629105062,144.5656833606586
8061.650555138024,155.66571811084833
8199.928631564826,166.96115227642818
8340.560205123613,173.1013106426774
8483.582008611742,180.11609875545076
8629.031155420094,198.1812250302829
8776.945133470648,213.76781551232136
8927.361798531028,229.26110169178313
9080.31936687951,251.7511437225044
9235.856407293679,279.99978389434466
9394.011832334787,313.0319153251907
9554.824888900172,343.5917486080658
9718.335148014932,378.6764033148857
9884.582493834261,419.02756085511413
10053.607111827174,456.5022600862845
10225.449476111948,511.1201342624439
10400.15033591419,553.0658284236612
10577.750701117222,587.1825247633
10758.291826874975,621.5783891564665
10941.815197257863,671.8926879556944
11128.362507901684,718.9331264297251
11317.975647630206,775.1518001102535
11510.696679021992,825.9083878409671
11706.56781789307,882.9658006423717
11905.631411667302,951.6668049610856
12107.929916606752,1026.9455581511047
12313.505873875458,1127.5090150686215
12522.401884411707,1221.939173578127
12734.660582583243,1327.3691372657713
12950.324608603578,1455.2863478923268
13169.436579686899,1576.2348146982633
13392.039059922678,1708.3622749976244
13618.174528850692,1832.3171879229055
13847.88534872281,1949.0648040371561
14081.213730435675,2074.425530663511
14318.20169812555,2233.5495712535644
14558.891052415986,2400.499377493943
14803.323332313561,2559.242883620332
15051.539775750483,2751.1285347416842
15303.581278774973,2931.667542335423
15559.488353395762,3134.0165507954107
15819.301084089666,3345.244602609524
16083.059082986647,3570.269508278235
16350.801443750155,3804.21277944758
16622.566694176334,4056.6841019379503
16898.392747539485,4357.212855704341
17178.316852718388,4614.831961669925
17462.375543140664,4910.54341347317
17750.6045845907,5172.641930995735
18043.03892193086,5474.513676017748
18339.71262479247,5813.367671700045
18640.658832298184,6175.7769934542575
18945.909696885643,6533.929907854711
19255.49632730585,6900.259249246637
19569.44873087887,7291.626074627504
19887.795755093954,7693.907826579117
20210.565028648405,8074.4963336434
20537.782902026313,8431.10914415474
20869.474387723825,8780.444542470976
21205.663100233854,9122.770411088284
21546.37119591023,9457.192505108822
21891.61931283548,9740.299167502377
22241.42651082392,10146.632780949016
22595.810211694825,10519.106240491776
22954.786139957036,10854.143540836794
23318.368264051012,11144.970965487903
23686.56873829603,11481.14582951991
24059.39784569761,11802.454622865056
24436.863941768777,12166.451547319202
24818.97339952609,12619.475657512812
25205.730555818995,12993.028165158605
25597.13765915448,13383.848832543395
25993.19481917962,13765.555771024538
26393.899957982845,14106.969224687575
26799.248763376127,14533.950251998376
27209.23464431603,15088.06871048629
27623.848688621823,15618.47828733726
28043.07962314283,16070.36734097936
28466.91377652639,16527.568963699334
28895.335044729993,17014.20968949867
29328.3248594191,17539.75482067005
29765.86215938121,18124.93647635833
30207.923365086383,18728.37379155001
30654.482356509638,19256.01621623167
31105.51045433008,19750.38744447268
31560.97640460446,20251.63870721336
32020.846367012604,20844.514273026576
32485.083906754415,21370.417331287703
32953.649990172264,21930.72411169484
33426.50298416179,22432.537758781007
33903.59865942142,23031.08534995118
34384.89019757979,23655.211394866943
34870.32820223231,24228.930512790932
35359.86071389917,24657.713860253123
35853.43322891439,25260.2160990453
36350.988722236834,25840.225597796474
36852.46767416319,26392.41742856054
37357.80810091797,26882.398422413185
37866.94558907193,27527.453595910287
38379.8133337426,28153.71706323146
38896.34218050771,28889.16317151742
39416.46067095975,29510.487234671615
39940.095091815485,30148.992492260884
40467.1695274844,30842.82806272428
40997.60591599266,31419.703696148157
41531.32410814654,31966.30755310448
42068.24192981506,32452.326289345645
42608.275247197096,33020.87356819139
43151.338034939734,33433.00665303354
43697.34244695653,33928.755239049155
44246.198889798725,34396.224976624726
44797.816098417534,34876.83114815126
45352.10121415805,35366.448362740506
45908.959864813325,35858.62328365092
46468.296246571306,36469.31539634321
47030.01320767597,36980.98090927292
47594.01233362728,37574.50008912457
48160.19403373957,38076.15722269483
48728.457628877084,38555.698074964355
49298.70144018596,39048.17221301805
49870.82287863878,39510.20418077651
50444.71853521126,40093.601984130575
51020.28427151044,40587.53319195221
51597.41531067414,41060.72594414482
52176.0063283659,41527.93835969387
52995.635737441866,42088.33247735289
53822.45330603973,42660.405484932046
54656.33111138059,43309.04307367303
55497.13523200126,43992.657182313495
56344.72577623961,44633.43329201365
57198.95692163157,45384.01279554692
58059.676965353035,45983.51342465933
58926.72838580001,46591.63860287852
59799.947915385324,47214.226135214274
60678.831057060364,48022.35972896984
61563.028043064936,48741.89310109423
62452.85944306306,49501.41926104239
63348.14045321568,50174.55233352073
64248.681073413594,51057.07864455326
65154.28624636166,51928.632628906176
66064.75600736417,52767.25598305768
66979.88564460684,53379.71585634757
67899.46586968967,54222.93042675126
68823.28299813387,55086.64434221039
69751.11913955328,55891.23999260168
70682.75239713913,56730.261309892005
71617.957076085,57477.65589211955
72556.50390053881,58225.94882366187
73498.16023864406,58948.407484633164
74442.6903352003,59734.14857690405
75389.85555144913,60527.84145937352
76339.41461146348,61288.54960369805
77291.12385459321,61961.823611809574
78244.7374934079,62730.84482963665
79200.00787654059,63634.275136831864
80156.68575583691,64436.01817334959
81114.5205571848,65272.23365767182
82073.26065439364,65938.72855355208
83032.65364547713,66695.26610273492
83992.44663068642,67304.36196349385
84952.38649163529,67978.11060340141
85912.22017085047,68746.28728600529
86871.69495108243,69495.71903049736
87830.55873371041,70313.64024832628
88788.56031558177,71180.72783965018
89745.44966362501,72017.90761756738
90700.97818659314,72848.82983996642
91654.8990032946,73727.85248489979
92606.9672066919,74771.11659923583
93556.94012325484,75598.69741991813
94504.5775669795,76552.6976676226
95449.6420874994,77284.33615900569
96391.89921174361,78057.02389877549
97331.11767861203,78868.89665731124
98267.06966617247,79623.00097097267
99199.53101090879,80441.99595233938
100128.28141858158,81244.25127728257
101053.10466628495,82153.0250170283
101973.7887953346,83064.65350381337
102890.12629463372,83919.69385325946
103801.91427421707,84809.20446006536
104708.95462869768,85708.86054802827
105611.05419038344,86585.1951244925
106508.02487186439,87391.57718162771
107399.68379791117,88373.44197880347
108285.85342655852,89184.22107608327
109166.36165929423,90040.0154801972
110041.041940293,90878.4858752038
110909.73334469511,91729.89892072839
111772.28065594033,92560.6614506946
112628.53443222478,93355.05098485503
113478.35106216188,94198.67311679373
114321.5928097784,95193.9005358782
115158.12784899435,96002.77439109034
115987.83028777507,96716.22643261508
116810.58018216115,97406.46689361685
117626.26354042294,98220.54655293978
118434.77231759185,98919.48194062039
119236.00440066066,99654.79624389438
120029.86358475663,100602.33139451261
120816.25954060869,101691.78396925356
121595.10777365325,102653.21792026452
122366.3295751296,103316.62272069242
123129.85196553583,103881.99502153542
123885.60763082227,104427.41099875374
124633.53485170621,104925.05312427113
125373.57742650645,105578.94383820426
126105.68458788854,106363.22678258659
126829.81091392718,107339.8060564526
127545.91623388256,108374.06096296551
128253.96552909337,109215.51972290415
128953.92882938664,109901.52396838255
129645.78110539202,110460.60939008354
130329.50215716047,111362.91667375116
131005.07649946044,112098.2089924295
131672.49324413322,112849.70924532782
132331.74597987172,113759.64615094823
132982.8326497767,114527.72079312304
133625.75542704423,114957.03877400522
